event_group,date,title,channel,url,token_count,duplicate_count,mbg_exact,mbg_full_phrase,mbg_signals,mbg_ambiguous
event-065,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,https://www.youtube.com/watch?v=R-b9-w6QrWg,2648,0,0,0,0,0
event-051,2024-10-09,[FULL] Pidato Prabowo di Investor Summit: Bocorkan Susunan Kabinet hingga Bicara Konflik Geopolitik,KOMPASTV,https://www.youtube.com/watch?v=fUA5IWV_00A,3315,0,0,0,2,0
event-050,2024-10-20,[FULL] Pidato Perdana Presiden RI Ke-8 Prabowo Subianto | Beritasatu,BeritaSatu,https://www.youtube.com/watch?v=mb2Jw47oVl8,3655,1,0,0,1,0
event-052,2024-11-29,[FULL] Pidato Presiden Prabowo Subianto Umumkan Kenaikan Gaji Guru di Puncak Hari Guru Nasional,KOMPASTV DEWATA,https://www.youtube.com/watch?v=BNfmMijPCJM,1788,0,0,0,1,0
event-048,2024-12-04,[FULL] Pidato Presiden Prabowo di Pembukaan Sidang Tanwir & Resepsi Milad ke-112 Muhammadiyah,METRO TV ,https://www.youtube.com/watch?v=3XayivTOjCY,3552,1,0,0,3,0
event-058,2024-12-19,"[FULL] Pidato Prabowo di Kairo: Singgung Gus Dur, Hitung Koruptor yang Ditangkap",Kompas.com,https://www.youtube.com/watch?v=73EnzEWg_8k,2388,0,0,0,0,0
event-047,2024-12-28,[FULL] Pidato Prabowo pada Perayaan Natal Nasional 2024,Kompas.com,https://www.youtube.com/watch?v=sJ-b3ohKEs0,1564,1,0,0,0,0
event-018,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,https://www.youtube.com/watch?v=ffYHRrgqg5U,1465,0,0,0,0,0
event-004,2025-04-10,Pidato Kenegaraan Presiden Prabowo di Hadapan Parlemen Turkiye,Sekretariat Presiden,https://www.youtube.com/watch?v=CfnRESwOZKQ,807,0,0,0,0,0
event-060,2025-05-01,[FULL]  PIDATO PRESIDEN PRABOWO DI PERINGATAN MAY DAY 2025,Kompas TV Biro Makassar,https://www.youtube.com/watch?v=oJdO0XleOws,1687,0,0,0,0,0
event-061,2025-06-02,[FULL] Berapi-api! Pidato Presiden Prabowo Upacara Hari Lahir Pancasila: Saya Peringati Semua Unsur,KOMPASTV,https://www.youtube.com/watch?v=Ra4_HJDql14,1324,0,0,0,0,0
event-056,2025-06-11,[FULL] Pidato Presiden Prabowo di Indo Defence Expo and Forum 2025,METRO TV ,https://www.youtube.com/watch?v=g_aLb7K2a-A,1321,0,0,0,0,0
event-041,2025-07-01,Full Pidato Presiden Prabowo di Upacara Peringatan ke 79 Hari Bhayangkara,Prabowo Subianto,https://www.youtube.com/watch?v=Enmz62kOMyI,1102,0,0,0,2,0
event-055,2025-07-21,Pidato Presiden Prabowo di Kongres PSI 2025,KOMPASTV JAWA TENGAH,https://www.youtube.com/watch?v=fmv67UzNYdM,3288,0,0,0,1,0
event-063,2025-07-23,[FULL] Pidato Menggelegar Presiden Prabowo! Beri Amanat di Pelantikan Perwira TNI & Polri 2025,KOMPASTV,https://www.youtube.com/watch?v=8gMTWE2Sj8w,649,0,0,0,0,0
event-005,2025-08-07,Presiden Prabowo Hadiri KSTI Indonesia 2025,Sekretariat Presiden,https://www.youtube.com/watch?v=E_doThSKS4E,588,0,0,0,0,0
event-054,2025-08-15,[FULL] Pidato Kenegaraan Presiden Prabowo pada Sidang Tahunan MPR 2025,Kompas.com,https://www.youtube.com/watch?v=bSpL4BxOMUk,5764,0,3,0,8,0
event-002,2025-08-31,Pernyataan Presiden Prabowo Menyikapi Aksi Demo,Kompas.com,https://www.youtube.com/watch?v=3e_gu9rWwWQ,739,0,0,0,0,0
event-025,2025-09-29,[FULL] Pidato Lengkap Presiden Prabowo di Munas Ke-VI PKS | tvOne,tvOneNews ,https://www.youtube.com/watch?v=gyT_qLziJ2M,5204,0,0,0,4,0
event-057,2025-10-23,[FULL] Pidato Presiden Prabowo di Pertemuan Diplomatik Indonesia-Brasil,METRO TV ,https://www.youtube.com/watch?v=tbyjpnb5r70,863,0,0,0,0,0
event-001,2025-10-24,Sambutan Presiden Prabowo pada Puncak Peringatan Hari Santri,Sekretariat Presiden,https://www.youtube.com/watch?v=02IcsjvhFGQ,236,0,0,0,0,0
event-059,2025-11-06,[FULL] Pidato Prabowo Resmikan Pabrik Kimia di Cilegon: Negosiasi dengan Orang Korea Tak Gampang!,KOMPASTV,https://www.youtube.com/watch?v=KNeFsu2UbDQ,1708,0,0,0,0,0
event-053,2025-11-28,LIVE Pidato Presiden Prabowo di Pertemuan Tahunan Bank Indonesia Tahun 2025,CNN Indonesia,https://www.youtube.com/watch?v=BgJb8u_VyGo,1404,0,0,0,0,0
event-049,2025-11-28,[FULL] Pidato Presiden Prabowo di Peringatan Hari Guru Nasional 2025: Bantu Saya Berantas Korupsi!,KOMPASTV,https://www.youtube.com/watch?v=_Aer99PNOA8,2258,2,0,0,1,0
