event_group,date,title,channel,word,count
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,saya,77
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,yang,41
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,itu,37
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kita,35
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,dan,24
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,untuk,23
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,tidak,21
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,di,18
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,enggak,18
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,ini,16
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,ya,16
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,rakyat,16
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,indonesia,14
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,hari,14
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,mau,13
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,tapi,12
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,ada,12
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,benar,12
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,bangsa,12
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,muslimat,11
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,boleh,11
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,sudah,10
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kalau,10
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,dalam,9
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,dengan,9
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,sekolah,9
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,oleh,8
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,harus,8
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,dari,7
