word,count,per_1000_tokens,event_count
kita,4207,37.239,49
yang,3733,33.0433,49
saya,2801,24.7935,48
dan,2358,20.8722,49
ini,1719,15.216,48
di,1561,13.8175,48
tidak,1245,11.0203,46
itu,1202,10.6397,44
indonesia,1170,10.3565,48
ya,1080,9.5598,37
saudara-saudara,876,7.7541,44
untuk,872,7.7187,49
ada,866,7.6655,44
rakyat,820,7.2584,45
dari,815,7.2141,46
akan,788,6.9751,44
harus,740,6.5502,45
dengan,730,6.4617,47
saudara,628,5.5589,43
kalau,615,5.4438,39
sudah,614,5.4349,41
negara,603,5.3376,45
bangsa,592,5.2402,47
bisa,592,5.2402,40
tahun,590,5.2225,45
adalah,581,5.1428,46
juga,553,4.895,45
tapi,550,4.8684,42
semua,536,4.7445,47
ee,530,4.6914,36
jadi,520,4.6029,41
enggak,518,4.5852,34
dalam,468,4.1426,45
karena,438,3.877,45
kepada,393,3.4787,42
para,390,3.4522,41
ke,389,3.4433,43
ketua,387,3.4256,32
presiden,380,3.3636,46
menteri,376,3.3282,41
besar,364,3.222,45
hari,362,3.2043,44
sekalian,354,3.1335,44
sekarang,352,3.1158,42
banyak,351,3.1069,42
kasih,351,3.1069,46
bahwa,331,2.9299,44
mereka,318,2.8148,37
apa,311,2.7529,34
oleh,308,2.7263,43
mau,303,2.6821,36
terima,299,2.6467,45
kan,294,2.6024,32
baik,292,2.5847,43
pak,288,2.5493,30
lagi,288,2.5493,41
lebih,285,2.5227,38
seluruh,284,2.5139,43
republik,273,2.4165,41
hadir,270,2.39,40
satu,268,2.3722,41
sama,264,2.3368,39
sebagai,264,2.3368,44
sangat,259,2.2926,41
orang,244,2.1598,34
atas,244,2.1598,43
punya,243,2.151,36
telah,234,2.0713,35
dia,232,2.0536,29
dunia,229,2.027,39
boleh,228,2.0182,39
bagi,223,1.9739,44
hanya,216,1.912,41
mungkin,214,1.8943,39
bukan,211,1.8677,37
masih,207,1.8323,39
wakil,206,1.8234,33
pemerintah,206,1.8234,37
ingin,205,1.8146,39
umum,200,1.7703,26
dapat,190,1.6818,42
nanti,188,1.6641,33
ekonomi,188,1.6641,35
atau,185,1.6376,37
benar,184,1.6287,36
hormati,183,1.6199,38
luar,177,1.5667,35
kami,177,1.5667,25
sampai,176,1.5579,34
terus,171,1.5136,38
selalu,169,1.4959,40
menjadi,168,1.4871,39
iya,161,1.4251,33
pada,161,1.4251,40
waktu,158,1.3986,33
jangan,157,1.3897,32
mana,157,1.3897,37
tadi,157,1.3897,36
lain,157,1.3897,38
tni,155,1.372,32
juta,155,1.372,27
kali,154,1.3632,32
partai,148,1.31,17
kerja,147,1.3012,33
berapa,146,1.2923,26
kepala,144,1.2746,32
bapak,143,1.2658,29
lihat,141,1.2481,31
sekolah,138,1.2215,20
baru,136,1.2038,35
bekerja,136,1.2038,33
sendiri,134,1.1861,30
paling,134,1.1861,34
kira,128,1.133,34
salam,128,1.133,42
negeri,127,1.1242,33
triliun,125,1.1065,16
prabowo,124,1.0976,37
bersama,123,1.0888,32
pertama,121,1.0711,34
tiap,119,1.0533,26
pangan,117,1.0356,27
belum,117,1.0356,29
salah,116,1.0268,34
suatu,115,1.0179,32
rumah,115,1.0179,19
hidup,113,1.0002,34
ri,113,1.0002,23
kuat,112,0.9914,34
kekayaan,112,0.9914,27
pimpinan,111,0.9825,32
memang,111,0.9825,33
penting,111,0.9825,35
masalah,111,0.9825,27
maha,110,0.9737,37
bulan,109,0.9648,24
nasional,109,0.9648,34
setiap,106,0.9383,24
sini,103,0.9117,36
masa,103,0.9117,30
dpr,103,0.9117,19
perlu,102,0.9029,30
minta,102,0.9029,31
saja,102,0.9029,30
desa,102,0.9029,20
anak-anak,100,0.8852,26
depan,99,0.8763,38
sejarah,99,0.8763,24
tanpa,99,0.8763,33
sekali,98,0.8675,37
air,98,0.8675,31
warahmatullahi,98,0.8675,44
sejahtera,98,0.8675,38
wabarakatuh,97,0.8586,44
merdeka,97,0.8586,27
politik,96,0.8498,25
mulai,96,0.8498,26
memberi,94,0.8321,34
tahu,94,0.8321,33
anak,93,0.8232,29
bupati,92,0.8144,14
ibu,91,0.8055,25
pemimpin,91,0.8055,24
makan,91,0.8055,25
keras,91,0.8055,30
selamat,90,0.7967,38
antara,90,0.7967,22
petani,90,0.7967,17
daerah,89,0.7878,27
anggota,89,0.7878,29
mengerti,88,0.7789,26
beliau,88,0.7789,18
merah,88,0.7789,33
pakai,88,0.7789,21
begitu,87,0.7701,30
secara,87,0.7701,30
tuhan,87,0.7701,34
koperasi,87,0.7701,15
bagaimana,86,0.7612,30
datang,85,0.7524,31
dulu,85,0.7524,28
memiliki,85,0.7524,31
aku,85,0.7524,23
bicara,84,0.7435,26
kau,84,0.7435,24
cukup,84,0.7435,29
om,84,0.7435,34
jenderal,84,0.7435,24
badan,84,0.7435,28
putih,83,0.7347,32
pembangunan,83,0.7347,26
terlalu,82,0.7258,26
pun,82,0.7258,33
berada,82,0.7258,32
berhasil,82,0.7258,24
perang,82,0.7258,20
kesehatan,81,0.717,35
biasa,80,0.7081,26
kecil,78,0.6904,32
sehingga,78,0.6904,30
serta,77,0.6816,23
undang-undang,77,0.6816,14
kurang,77,0.6816,23
jalan,76,0.6727,27
ulama,76,0.6727,12
menjaga,76,0.6727,22
h,76,0.6727,15
kalian,76,0.6727,21
bumn,76,0.6727,22
energi,76,0.6727,28
aja,75,0.6639,23
harga,75,0.6639,22
jawa,75,0.6639,20
eh,74,0.655,25
semakin,74,0.655,25
uang,74,0.655,25
hampir,74,0.655,26
masyarakat,74,0.655,23
beserta,73,0.6462,27
keluarga,73,0.6462,23
pernah,73,0.6462,22
k,72,0.6373,18
gubernur,72,0.6373,22
bikin,72,0.6373,23
naik,72,0.6373,22
nelayan,71,0.6285,13
percaya,70,0.6196,31
menyampaikan,70,0.6196,28
kekuatan,70,0.6196,28
kabinet,70,0.6196,34
berani,70,0.6196,31
timur,69,0.6108,20
melihat,69,0.6108,26
penuh,69,0.6108,25
program,69,0.6108,18
lama,69,0.6108,27
dewan,68,0.6019,23
pemerintahan,68,0.6019,20
nah,68,0.6019,20
diri,67,0.5931,28
terbaik,67,0.5931,24
sedang,67,0.5931,24
segala,67,0.5931,35
demokrat,67,0.5931,5
dua,67,0.5931,26
masuk,67,0.5931,21
menghadapi,66,0.5842,22
tengah,66,0.5842,30
belajar,65,0.5754,23
prof,65,0.5754,27
selama,65,0.5754,26
diberikan,65,0.5754,33
kota,64,0.5665,17
kalah,64,0.5665,21
agung,64,0.5665,17
kenapa,64,0.5665,21
subianto,64,0.5665,30
tempat,64,0.5665,27
membangun,64,0.5665,19
kadang-kadang,63,0.5577,25
saat,63,0.5577,24
tetap,63,0.5577,16
oh,62,0.5488,27
polisi,62,0.5488,18
hukum,61,0.54,20
santi,61,0.54,23
bahkan,61,0.54,24
berarti,61,0.54,23
kembali,60,0.5311,25
diberi,60,0.5311,25
yakin,60,0.5311,29
hah,60,0.5311,20
bilang,59,0.5222,19
keadaan,59,0.5222,25
saudari,59,0.5222,23
miliar,59,0.5222,16
dolar,59,0.5222,13
kemudian,58,0.5134,21
mengatakan,58,0.5134,23
kuasa,58,0.5134,35
sampaikan,58,0.5134,25
langsung,58,0.5134,23
lalu,58,0.5134,27
butuh,58,0.5134,20
