event_group,date,title,channel,word,count
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,kita,145
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,saya,100
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,yang,71
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,dan,43
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,di,41
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,ini,39
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,untuk,34
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,ya,30
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,itu,28
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,indonesia,27
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,tidak,26
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,pak,25
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,ada,22
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,kan,21
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,tapi,20
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,bisa,20
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,negara,20
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,saudara-saudara,19
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,dari,19
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,kalau,19
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,bangsa,19
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,harus,18
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,orang,15
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,bergabung,15
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,dengan,15
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,rakyat,15
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,sama,14
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,sekarang,14
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,akan,14
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,mau,14
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,nasdem,13
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,mungkin,13
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,jadi,13
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,mana,13
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,sekalian,12
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,terima,12
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,kasih,12
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,tahun,12
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,karena,12
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,timur,12
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,partai,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,surya,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,ke,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,bahwa,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,ingin,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,banyak,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,bukan,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,lagi,11
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,apa,10
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,bekerja,10
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,dia,10
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,besar,9
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,begitu,9
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,sangat,9
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,dunia,9
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,enggak,9
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,dalam,8
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,hormati,8
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,diberi,8
event-060,2024-08-27,"Kocak! Pidato Prabowo Subianto di Penutupan Kongres III NasDem: Ingin ""Brewokan"" Seperti Surya Paloh",KOMPASTV SUKABUMI,beliau,8
