word,count,per_1000_tokens,speech_count
saya,403,35.2334,10
kita,387,33.8346,10
yang,367,32.086,10
dan,247,21.5947,10
ini,207,18.0976,10
di,154,13.4639,10
saudara-saudara,130,11.3656,9
itu,124,10.8411,7
indonesia,123,10.7536,10
tidak,96,8.3931,10
untuk,88,7.6937,10
adalah,81,7.0817,9
ya,79,6.9068,6
ada,78,6.8194,8
dari,78,6.8194,10
akan,78,6.8194,7
saudara,77,6.7319,8
dengan,73,6.3822,9
sudah,72,6.2948,7
rakyat,68,5.9451,8
kalau,67,5.8577,7
tahun,64,5.5954,9
negara,64,5.5954,8
para,63,5.508,9
sekalian,62,5.4205,9
bangsa,62,5.4205,10
ee,58,5.0708,7
juga,56,4.896,8
semua,56,4.896,9
bisa,54,4.7211,7
harus,51,4.4588,8
menteri,50,4.3714,7
tapi,50,4.3714,7
kasih,50,4.3714,10
enggak,49,4.284,5
jadi,48,4.1965,7
dalam,44,3.8468,9
terima,42,3.672,10
bahwa,42,3.672,9
baik,41,3.5845,8
banyak,40,3.4971,7
karena,39,3.4097,8
kepada,38,3.3223,7
besar,36,3.1474,9
hari,36,3.1474,7
lagi,35,3.06,6
sebagai,34,2.9725,7
oleh,34,2.9725,8
satu,34,2.9725,7
mereka,34,2.9725,7
ketua,33,2.8851,6
seluruh,33,2.8851,10
hadir,32,2.7977,8
sekarang,32,2.7977,7
punya,31,2.7103,6
kan,31,2.7103,4
ke,30,2.6228,7
bagi,29,2.5354,9
presiden,29,2.5354,9
lebih,29,2.5354,6
mau,29,2.5354,5
luar,28,2.448,7
apa,28,2.448,5
sama,28,2.448,5
tadi,27,2.3606,5
ingin,27,2.3606,7
dunia,26,2.2731,7
partai,25,2.1857,3
umum,25,2.1857,4
hidup,24,2.0983,6
nanti,24,2.0983,5
selalu,23,2.0108,7
sangat,23,2.0108,7
mungkin,22,1.9234,7
buruh,22,1.9234,1
dapat,21,1.836,7
hormati,21,1.836,7
rumah,21,1.836,3
turki,21,1.836,1
salam,20,1.7486,9
merdeka,20,1.7486,7
benar,20,1.7486,4
atas,19,1.6611,6
masih,19,1.6611,6
republik,19,1.6611,7
lihat,19,1.6611,5
sampai,19,1.6611,6
hanya,18,1.5737,8
wakil,18,1.5737,5
boleh,18,1.5737,5
atau,18,1.5737,9
tiap,18,1.5737,6
kerja,18,1.5737,7
wabarakatuh,17,1.4863,10
pkb,17,1.4863,1
baru,17,1.4863,5
ekonomi,17,1.4863,6
lain,17,1.4863,6
kali,17,1.4863,5
kami,17,1.4863,3
warahmatullahi,16,1.3988,10
selamat,16,1.3988,8
sejahtera,16,1.3988,8
perjuangan,16,1.3988,3
pimpinan,16,1.3988,6
mana,16,1.3988,6
menyampaikan,16,1.3988,7
terhadap,16,1.3988,5
bukan,16,1.3988,8
om,15,1.3114,8
dia,15,1.3114,3
tanpa,15,1.3114,7
anak,15,1.3114,7
telah,15,1.3114,5
pada,14,1.224,9
merasa,14,1.224,3
undang-undang,14,1.224,3
memberi,14,1.224,4
kekayaan,14,1.224,3
pertama,14,1.224,6
belum,14,1.224,6
manusia,14,1.224,5
kira,14,1.224,5
pemerintah,14,1.224,6
membela,14,1.224,3
teknologi,14,1.224,3
juta,14,1.224,4
sejarah,14,1.224,5
pekerja,14,1.224,1
segala,13,1.1366,6
prof,13,1.1366,5
nasional,13,1.1366,6
sini,13,1.1366,6
terus,13,1.1366,4
biasa,13,1.1366,5
negeri,13,1.1366,7
berapa,13,1.1366,4
memang,13,1.1366,4
bulan,13,1.1366,5
minta,13,1.1366,6
orang,13,1.1366,4
cukup,13,1.1366,5
bekerja,13,1.1366,4
diberi,13,1.1366,4
berbeda,13,1.1366,3
perusahaan,13,1.1366,3
direktur,13,1.1366,3
aja,12,1.0491,3
pun,12,1.0491,6
kuat,12,1.0491,5
tahu,12,1.0491,6
paling,12,1.0491,6
wartawan,12,1.0491,4
semakin,12,1.0491,6
tinggi,12,1.0491,4
menuju,12,1.0491,4
antara,12,1.0491,2
dpr,12,1.0491,2
santi,12,1.0491,4
shalom,11,0.9617,8
bersyukur,11,0.9617,4
ibu-ibu,11,0.9617,4
pakai,11,0.9617,1
pasal,11,0.9617,2
kok,11,0.9617,3
energi,11,0.9617,5
pak,11,0.9617,4
bicara,11,0.9617,5
perang,11,0.9617,3
bikin,11,0.9617,4
bersama,11,0.9617,4
suatu,11,0.9617,4
seorang,11,0.9617,3
imlek,11,0.9617,1
salve,10,0.8743,8
penuh,10,0.8743,5
kesehatan,10,0.8743,6
dewan,10,0.8743,3
anggota,10,0.8743,5
sekali,10,0.8743,7
masuk,10,0.8743,4
jangan,10,0.8743,4
kenapa,10,0.8743,3
depan,10,0.8743,6
waktu,10,0.8743,6
hati,10,0.8743,4
kalian,10,0.8743,3
profesor,10,0.8743,5
mengerti,10,0.8743,4
dolar,10,0.8743,2
kekuatan,10,0.8743,3
menjadi,10,0.8743,8
rektor,10,0.8743,3
ai,10,0.8743,1
kepala,10,0.8743,4
itb,10,0.8743,2
asalamualaikum,9,0.7869,9
masyarakat,9,0.7869,3
bapak,9,0.7869,3
sebut,9,0.7869,3
prabowo,9,0.7869,5
saja,9,0.7869,5
yakin,9,0.7869,4
ilmu,9,0.7869,3
betul,9,0.7869,2
kecil,9,0.7869,5
kalah,9,0.7869,4
tni,9,0.7869,6
sains,9,0.7869,3
keras,9,0.7869,5
sendiri,9,0.7869,4
mulai,9,0.7869,5
kepentingan,9,0.7869,3
utama,9,0.7869,2
nelayan,9,0.7869,1
namo,8,0.6994,7
buddhaya,8,0.6994,7
kebajikan,8,0.6994,7
maha,8,0.6994,5
diberikan,8,0.6994,5
ri,8,0.6994,4
persatuan,8,0.6994,4
ulama,8,0.6994,1
situ,8,0.6994,4
keyakinan,8,0.6994,2
bagaimana,8,0.6994,4
habis,8,0.6994,3
kopi,8,0.6994,4
masa,8,0.6994,4
iya,8,0.6994,4
hah,8,0.6994,3
lu,8,0.6994,3
lembaga,8,0.6994,8
selama,8,0.6994,4
masalah,8,0.6994,4
datang,8,0.6994,4
politik,8,0.6994,3
laporan,8,0.6994,3
keadaan,8,0.6994,5
brian,8,0.6994,3
usul,8,0.6994,1
kesulitan,8,0.6994,2
bumn,8,0.6994,4
badan,8,0.6994,4
sebuah,8,0.6994,3
kaum,8,0.6994,1
perlindungan,8,0.6994,1
manajemen,8,0.6994,1
santri,8,0.6994,1
swastiastu,7,0.612,7
koordinator,7,0.612,3
kabinet,7,0.612,4
saudari,7,0.612,3
pangan,7,0.612,4
kiai,7,0.612,2
ibu,7,0.612,2
berada,7,0.612,3
media,7,0.612,4
kehormatan,7,0.612,5
begitu,7,0.612,5
nama,7,0.612,4
dasar,7,0.612,2
keluar,7,0.612,3
ingat,7,0.612,3
perlu,7,0.612,5
air,7,0.612,4
kewajiban,7,0.612,2
kembali,7,0.612,4
artinya,7,0.612,3
bocor,7,0.612,3
sedang,7,0.612,3
terjadi,7,0.612,5
